Reference, Value,, Footprint, Datasheet
C7,4.7uF50V,,Capacitor_SMD:C_1206_3216Metric,~
C11,10nF16V,,Capacitor_SMD:C_0805_2012Metric,~
C5,10uF16V,,Capacitor_SMD:C_0805_2012Metric,~
C6,10uF16V,,Capacitor_SMD:C_0805_2012Metric,~
C12,47uF16V,,Capacitor_SMD:C_1206_3216Metric,~
C13,47uF16V,,Capacitor_SMD:C_0805_2012Metric,~
C14,47uF16V,,Capacitor_SMD:C_0805_2012Metric,~
C9,56pF50V,,Capacitor_SMD:C_0805_2012Metric,~
C1,100nF16V,,Capacitor_SMD:C_0805_2012Metric,~
C2,100nF16V,,Capacitor_SMD:C_0805_2012Metric,~
C3,100nF16V,,Capacitor_SMD:C_0805_2012Metric,~
C10,100nF50V,,Capacitor_SMD:C_0805_2012Metric,~
C19,100uF10V,,Capacitor_SMD:C_1206_3216Metric,~
C15,100uF35V,,Capacitor_SMD:CP_Elec_6.3x7.7,~
C16,100uF35V,,Capacitor_SMD:CP_Elec_6.3x7.7,~
C17,100uF35V,,Capacitor_SMD:CP_Elec_6.3x7.7,~
C18,100uF35V,,Capacitor_SMD:CP_Elec_6.3x7.7,~
C4,100uF50V,,Capacitor_SMD:CP_Elec_8x10,~
C8,820pF50V,,Capacitor_SMD:C_0805_2012Metric,~
D4,1N4007,,projfp:D_SOD-123F,http://www.vishay.com/docs/88503/1n4001.pdf
D5,1N4007,,projfp:D_SOD-123F,http://www.vishay.com/docs/88503/1n4001.pdf
D2,1N4148W,,projfp:D_SOD-123,https://www.vishay.com/docs/85748/1n4148w.pdf
D14,1N5819,,Diode_SMD:D_SOD-123,http://www.vishay.com/docs/88525/1n5817.pdf
D15,1N5819,,Diode_SMD:D_SOD-123,http://www.vishay.com/docs/88525/1n5817.pdf
D9,B540C-13-F,,projfp:D_SMC,~
D10,LED_3V,,projfp:LED_0805,~
D11,LED_5V,,projfp:LED_0805,~
D1,LED_BED,,projfp:LED_0805,~
D3,LED_E0,,projfp:LED_0805,~
D6,LED_FAN,,projfp:LED_0805,~
D13,LED_VBED,,projfp:LED_0805,~
D12,LED_VIN,,projfp:LED_0805,~
D7,PESD5V0S1BA,PESD5V0S1BA,projfp:D_SOD-323,~
D8,PESD5V0S1BA,PESD5V0S1BA,projfp:D_SOD-323,~
F1,10A 1808,,projfp:Littelfuse_0451,~
F2,20A 1808,,projfp:Littelfuse_0451,~
L1,4.7uH4.5A,,projfp:SMMS0530,~
Q1,WSK220N04,WSK220N04,Package_TO_SOT_SMD:TO-263-2,~
Q2,WSF3085,WSF3085,Package_TO_SOT_SMD:TO-252-2,~
Q3,WST3038,WST3038,Package_TO_SOT_SMD:TO-252-2,~
Q4,S9014,,Package_TO_SOT_SMD:SOT-23,http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF
Q5,S9014,,Package_TO_SOT_SMD:SOT-23,http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF
R26,0R,,Resistor_SMD:R_0805_2012Metric,~
R27,0R,,Resistor_SMD:R_0805_2012Metric,~
R35,1K,,Resistor_SMD:R_0805_2012Metric,~
R38,1K,,Resistor_SMD:R_0805_2012Metric,~
R5,2.2K,,Resistor_SMD:R_0805_2012Metric,~
R9,2.2K,,Resistor_SMD:R_0805_2012Metric,~
R12,2.2K,,Resistor_SMD:R_0805_2012Metric,~
R30,2.2K,,Resistor_SMD:R_0805_2012Metric,~
R31,2.2K,,Resistor_SMD:R_0805_2012Metric,~
R16,4.7K,,Resistor_SMD:R_0805_2012Metric,~
R17,4.7K,,Resistor_SMD:R_0805_2012Metric,~
R19,4.7K,,Resistor_SMD:R_0805_2012Metric,~
R20,4.7K,,Resistor_SMD:R_0805_2012Metric,~
R1,10K,,Resistor_SMD:R_0805_2012Metric,~
R3,10K,,Resistor_SMD:R_0805_2012Metric,~
R4,10K,,Resistor_SMD:R_0805_2012Metric,~
R8,10K,,Resistor_SMD:R_0805_2012Metric,~
R32,10K,,Resistor_SMD:R_0805_2012Metric,~
R10,10R,,Resistor_SMD:R_0805_2012Metric,~
R13,10R,,Resistor_SMD:R_0805_2012Metric,~
R25,11.5K,,Resistor_SMD:R_0805_2012Metric,~
R15,12K,,Resistor_SMD:R_0805_2012Metric,~
R22,12K,,Resistor_SMD:R_0805_2012Metric,~
R23,12K,,Resistor_SMD:R_0805_2012Metric,~
R21,23.7K,,Resistor_SMD:R_0805_2012Metric,~
R24,60.4K,,Resistor_SMD:R_0805_2012Metric,~
R18,73.2K,,Resistor_SMD:R_0805_2012Metric,~
R11,100K,,Resistor_SMD:R_0805_2012Metric,~
R14,100K,,Resistor_SMD:R_0805_2012Metric,~
R28,220R,,Resistor_SMD:R_0805_2012Metric,~
R29,330R,,Resistor_SMD:R_0805_2012Metric,~
R36,330R,,Resistor_SMD:R_0805_2012Metric,~
SW1,RESET,,projfp:6x6mmTactileSwitch,
U1,ESP32-WROOM-32D,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf
U2,TPS54340DDA,TPS54340DDA,Package_SO:TI_SO-PowerPAD-8_ThermalVias,http://www.ti.com/lit/ds/symlink/tps54340.pdf
U3,CH340C,CH340C,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.datasheet5.com/pdf-local-2195953
U4,AMS1117-3.3,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf
U5,Pololu_board,,Module:Pololu_Breakout-16_15.2x20.3mm,
U6,Pololu_board,,Module:Pololu_Breakout-16_15.2x20.3mm,
U8,Pololu_board,,Module:Pololu_Breakout-16_15.2x20.3mm,
U9,Pololu_board,,Module:Pololu_Breakout-16_15.2x20.3mm,
U10,TLP182,,Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm,https://toshiba.semicon-storage.com/info/docget.jsp?did=11793&prodName=TLP184
U11,74LVC1G125,,Package_TO_SOT_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
U12,74LVC1G125,,Package_TO_SOT_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf
H1,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H2,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H3,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H4,MountingHole,,MountingHole:MountingHole_3.2mm_M3_DIN965,~
J1,X_MIN,,Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical,~
J2,Z_MIN,,Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical,~
J3,BED,,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,~
J4,Micro_SD_Card_China,,projfp:Conn_uSDcard,
J5,Y_MIN,,Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical,~
J6,Z_PROBE,,Connector_JST:JST_XH_B03B-XH-A_1x03_P2.50mm_Vertical,~
